numero_contrato,numero_catastro,titular_contrato,ci_titular,categoria,subcategoria,medidor_iot,fecha_contrato,estado_contrato,diametro_conexion,tipo_servicio
CT-00000001,11-12-412-0983-000,Duilio Jove,5922807 CBBA,Residencial,R2,72:DC:2D:2F:38:71,02/12/18,ACTIVO,"1/2""",Agua Potable
CT-00000002,12-10-962-2327-000,Merche Vanesa Cobos Criado,8615204 CBBA,Residencial,R2,FA:E9:27:97:29:A3,08/04/23,ACTIVO,"1/2""",Agua Potable
CT-00000003,03-08-784-1086-000,Isidora Santamaria Vaquero,3050407 CBBA,Residencial,R3,08:3C:76:AB:81:84,11/24/21,MOROSO,"1/2""",Agua Potable
CT-00000004,03-18-529-9459-000,Vidal Arnau,7795708 CBBA,Residencial,R2,7D:90:FC:FB:CE:AD,09/19/21,CORTADO,"1/2""",Agua + Alcantarillado
CT-00000005,11-19-574-8358-000,Nando Casanovas Elías,2097281 CBBA,Residencial,R4,7B:CE:C3:B6:5D:45,11/10/13,ACTIVO,"2""",Agua + Alcantarillado
CT-00000006,04-05-084-4088-000,Rosalía Gisbert Montesinos,7128038 CBBA,Comercial,C,E4:91:42:2B:2A:CE,04/08/20,ACTIVO,"3/4""",Agua Potable
CT-00000007,13-17-207-5204-000,Camilo Alcaraz Posada,9633965 CBBA,Residencial,R2,66:51:0E:23:C1:86,02/28/25,ACTIVO,"1/2""",Agua Potable
CT-00000008,10-09-110-1403-000,Amaro del Franco,9095925 CBBA,Residencial,R2,F4:1A:61:B2:39:B2,12/31/19,ACTIVO,"3/4""",Agua Potable
CT-00000009,08-11-697-5304-000,Virgilio Lucena Pineda,2828178 CBBA,Residencial,R1,B4:1B:24:57:E4:E5,10/19/22,ACTIVO,"1/2""",Agua Potable
CT-00000010,07-17-816-7643-000,Leandra Apolonia Aroca Quesada,9722674 CBBA,Residencial,R1,13:23:54:43:99:84,12/26/22,ACTIVO,"1/2""",Agua Potable
CT-00000011,10-01-046-2810-000,Agustina del Llorens,7066216 CBBA,Residencial,R2,56:E0:DD:AE:AA:E9,07/01/21,MOROSO,"1""",Agua + Alcantarillado
CT-00000012,08-17-977-3426-000,Ariel Bertrán-Carpio,2615141 CBBA,Residencial,R3,75:E7:AA:7A:31:CA,04/24/17,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00000013,07-20-570-0322-000,Leopoldo Cadenas Benitez,2160416 CBBA,Residencial,R1,6E:34:8B:D3:43:BE,04/15/16,ACTIVO,"1/2""",Agua Potable
