numero_contrato,numero_catastro,titular_contrato,ci_titular,categoria,subcategoria,medidor_iot,fecha_contrato,estado_contrato,diametro_conexion,tipo_servicio
CT-00000011,10-01-046-2810-000,AGUSTINA DEL LLORENS,7066216 CBBA,Residencial,R2,56:E0:DD:AE:AA:E9,07/01/21,MOROSO,"1""",Agua + Alcantarillado
CT-00000019,06-02-145-5048-000,BENIGNA MORALES ARAGONÃ©S,2659054 CBBA,Residencial,R1,39:48:9E:D2:3E:10,04/07/26,ACTIVO,"1 1/2""",Agua + Alcantarillado
CT-00000020,06-03-696-9710-000,JOSEFA LLABRÃ©S CONDE,7664226 CBBA,Residencial,R3,57:85:B7:A2:F9:42,03/04/12,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000033,02-13-836-8895-000,EUTROPIO CAMACHO SAMPER,7186845 CBBA,Residencial,R2,02:53:E0:45:15:F7,12/31/24,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000054,06-17-713-2484-000,CLAROS GUTIERREZ VICTOR HUGO,4630764 CBBA,Residencial,R2,82:DB:90:12:11:22,02/05/13,ACTIVO,"1/2""",Agua Potable
CT-00000062,08-10-462-4444-000,ILLANES CABALLERO JOEL ALEXANDER,7585403 CBBA,Comercial,C,C9:C8:3A:12:88:13,07/20/23,SUSPENDIDO,"1/2""",Agua + Alcantarillado
CT-00000067,04-06-885-4111-000,SANDOVAL BERRIOS DEVON ANDERSON,2770800 CBBA,Residencial,R2,11:00:B3:B7:52:DE,09/13/17,ACTIVO,"1/2""",Agua Potable
CT-00000068,03-12-478-1805-000,TOCO YUCRA NICOLAS,2899392 CBBA,Social,S,E4:C1:4B:76:4B:DE,06/11/22,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000079,13-15-596-4349-000,MENA MOLINA MARCELO,8509104 CBBA,Residencial,R3,23:BC:6E:84:26:0C,08/10/17,MOROSO,"1""",Agua Potable
CT-00000083,03-11-675-5914-000,SANABRIA SUAREZ MICHAEL,7932967 CBBA,Residencial,R1,DF:FD:5E:07:2A:ED,05/16/18,MOROSO,"1/2""",Agua + Alcantarillado
CT-00000095,03-10-526-8865-000,VALLEJOS ALIAGA JOSE GABRIEL,5294512 CBBA,Residencial,R4,F0:32:4D:09:F5:D4,05/22/13,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000097,06-12-726-3423-000,GUZMAN OPORTO LUIS FERNANDO,5836649 CBBA,Residencial,R3,6B:9F:7E:E3:82:8C,09/05/19,ACTIVO,"1/2""",Agua Potable
CT-00000135,03-10-631-4961-000,CRUZ PINTO JOSUE,8926308 CBBA,Residencial,R3,5A:1D:13:38:7A:D1,08/15/23,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000171,11-05-121-6559-000,MICHELLI DAYANA ZEBALLOS VASQUEZ,4671496 CBBA,Residencial,R3,3C:27:71:B2:13:2A,11/01/14,SUSPENDIDO,"1/2""",Agua + Alcantarillado
CT-00000175,01-04-551-9316-000,CANLLAGUA CALICHO ALAN KEVIN,1970878 CBBA,Residencial,R2,3F:C2:56:AE:FA:EC,11/11/18,ACTIVO,"1/2""",Agua Potable
CT-00000197,04-01-258-1248-000,JESÃºS ROSSELLÃ³-MARTI,5899707 CBBA,Residencial,R4,BF:C3:3D:6E:3B:E0,04/06/16,MOROSO,"1/2""",Agua + Alcantarillado
CT-00000230,05-10-460-6930-000,ROLANDO TONI DOMINGUEZ TORRENT,5305598 CBBA,Residencial,R3,DC:CA:4B:F2:95:C6,01/21/25,ACTIVO,"1""",Agua Potable
CT-00000243,02-16-378-2404-000,MANUELA DE AGUILAR,4457133 CBBA,Residencial,R1,3B:17:6F:CD:12:DE,08/21/18,MOROSO,"1/2""",Agua + Alcantarillado
CT-00000270,15-17-536-1454-000,BÃ¡RBARA MATEOS VIGIL,7697283 CBBA,Residencial,R1,B5:07:9C:43:05:45,03/10/16,ACTIVO,"3/4""",Agua Potable
CT-00000281,14-04-673-6498-000,REINALDO SANTOS OLIVERA,8547606 CBBA,Residencial,R4,34:66:30:7B:D7:10,07/27/16,ACTIVO,"1/2""",Solo Agua
CT-00000290,15-17-639-2070-000,YÃ©SSICA PINTO LLOBET,8808211 CBBA,Comercial Especial,CE,09:A9:FE:46:A1:D4,03/07/19,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000302,03-19-510-8273-000,CAMILA RODRÃ­GUEZ-COSTA,8550581 CBBA,Residencial,R4,FB:C5:85:41:22:91,06/30/20,INACTIVO,"1/2""",Agua Potable
CT-00000308,07-15-094-1301-000,HERIBERTO PALAU GUARDIA,3435637 CBBA,Preferencial,P,70:37:7E:F3:A9:92,02/24/23,ACTIVO,"1""",Agua + Alcantarillado
CT-00000312,06-20-269-4851-000,ANA MANUELITA BARROS ARAGÃ³N,6963408 CBBA,Comercial,C,8E:D8:5D:3F:61:1B,01/20/23,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00000319,05-01-805-5208-000,LALO MENENDEZ PINTOR,4542904 CBBA,Preferencial,P,7D:CD:AD:89:92:68,01/12/25,SUSPENDIDO,"1/2""",Agua + Alcantarillado
