numero_catastro,propietario,ci,direccion,zona,distrito,manzano,lote,superficie_terreno,area_construida,uso_suelo,matricula_ddrr,valor_catastral,impuesto_anual,latitud,longitud,zona_original,zona_canonica,distrito_original,distrito_corregido,comuna_corregida,motivo_validacion
09-14-926-4480-000,AarÃ³n Pujadas Morera,9619417 CBBA,Av. AmÃ©rica NÂ° 1402,ALALAY NORTE,11,230,26,789,81,Educativo,3.01.1.74.7845311,646980,970.47,-17.43089,-66.188692,ALALAY NORTE,ALALAY NORTE,11,6,VALLE HERMOSO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
07-19-812-6366-000,AarÃ³n Pujadas Morera,9619417 CBBA,Av. Melchor PÃ©rez NÂ° 3545,MESADILLA,12,696,38,1194,994,Industrial,3.01.1.11.9259747,1188030,1782.05,-17.433203,-66.157805,MESADILLA,MESADILLA,12,1,TUNARI,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
03-13-582-9396-000,AarÃ³n Pujadas Morera,9619417 CBBA,Av. Blanco Galindo NÂ° 3294,PUKARA GRANDE SUR,1,562,24,665,263,Comercial,3.01.1.48.1972219,1153775,1730.66,-17.413353,-66.179752,PUKARA GRANDE SUR,PUKARA GRANDE SUR,1,9,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
12-20-623-4335-000,AarÃ³n Pujadas Morera,9619417 CBBA,Av. Beijing NÂ° 1412,ALALAY SUD,14,380,13,954,285,Industrial,3.01.1.77.8135717,2205648,3308.47,-17.385111,-66.139708,ALALAY SUD,ALALAY SUD,14,7,VALLE HERMOSO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
10-03-870-8036-000,AarÃ³n Pujadas Morera,9619417 CBBA,Av. Blanco Galindo NÂ° 231,LAS CUADRAS,9,707,39,237,121,Industrial,3.01.1.28.9848473,169455,254.18,-17.378602,-66.171299,LAS CUADRAS,LAS CUADRAS,9,11,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
09-13-096-4703-000,Oriana Mata Bernal,1098496 CBBA,Av. Melchor PÃ©rez NÂ° 3681,SUDESTE,4,215,26,399,183,Educativo,3.01.1.46.1771618,780843,1171.26,-17.430271,-66.185938,SUDESTE,SUDESTE,4,10,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
05-06-597-6964-000,Oriana Mata Bernal,1098496 CBBA,Av. Blanco Galindo NÂ° 458,USPHA USPHA,4,680,16,224,199,Comercial,3.01.1.72.4157038,361312,541.97,-17.377361,-66.184306,USPHA USPHA,USPHA USPHA,4,8,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
03-06-787-6342-000,Vera SalvÃ  Casal,5581036 CBBA,Av. Blanco Galindo NÂ° 4180,NORESTE,14,445,32,371,67,Industrial,3.01.1.52.8563057,337239,505.86,-17.391677,-66.193138,NORESTE,NORESTE,14,10,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
06-11-356-5630-000,Joel Curro Escribano CerdÃ¡,8958240 CBBA,Av. Beijing NÂ° 3138,PUKARA GRANDE OESTE,12,997,17,280,267,Comercial,3.01.1.84.8988935,234080,351.12,-17.399172,-66.186092,PUKARA GRANDE OESTE,PUKARA GRANDE OESTE,12,9,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
01-20-039-1869-000,Joel Curro Escribano CerdÃ¡,8958240 CBBA,Av. Blanco Galindo NÂ° 3034,VALLE HERMOSO OESTE,1,489,44,1139,402,Comercial,3.01.1.92.5855984,1832651,2748.98,-17.369005,-66.166888,VALLE HERMOSO OESTE,VALLE HERMOSO OESTE,1,15,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
02-12-470-2885-000,Maite Fortuny Segarra,3230565 CBBA,Av. Melchor PÃ©rez NÂ° 2897,VALLE HERMOSO OESTE,1,297,14,498,265,Educativo,3.01.1.35.5654310,1152870,1729.31,-17.383079,-66.146026,VALLE HERMOSO OESTE,VALLE HERMOSO OESTE,1,15,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
09-04-055-5932-000,Maite Fortuny Segarra,3230565 CBBA,Av. Beijing NÂ° 3850,SARCO,14,651,39,580,401,Mixto,3.01.1.11.3840306,663520,995.28,-17.430741,-66.189628,SARCO,SARCO,14,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
02-18-328-3558-000,Maite Fortuny Segarra,3230565 CBBA,Av. AmÃ©rica NÂ° 3869,CHIQUICOLLO,12,969,11,790,252,Industrial,3.01.1.96.6347516,1357220,2035.83,-17.418249,-66.115514,CHIQUICOLLO,CHIQUICOLLO,12,3,MOLLE,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
12-03-551-5376-000,Maite Fortuny Segarra,3230565 CBBA,Av. Melchor PÃ©rez NÂ° 4844,QUERU QUERU,11,185,48,762,744,Industrial,3.01.1.47.1255957,1718310,2577.47,-17.369233,-66.142722,QUERU QUERU,QUERU QUERU,11,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
11-16-462-4400-000,Maite Fortuny Segarra,3230565 CBBA,Av. CircunvalaciÃ³n NÂ° 1074,TEMPORAL PAMPA,5,782,36,685,539,Educativo,3.01.1.44.7229248,1032295,1548.44,-17.459968,-66.157278,TEMPORAL PAMPA,TEMPORAL PAMPA,5,2,TUNARI,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
